platform,modality,model,configuration,run_number,total_energy_j,avg_power_w,peak_power_w,generation_time_s
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,1,23.24,7.27,9.45,2.92
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,2,23.46,10.38,11.84,2.4
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,3,25.19,9.09,11.75,2.45
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,4,21.17,10.16,11.95,2.47
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,5,25.17,9.33,11.97,2.45
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,6,23.3,10.74,12.21,2.48
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,7,25.22,9.7,12.12,2.46
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,8,22.15,10.7,12.04,2.43
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,9,26.17,8.77,11.71,2.46
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,10,25.22,9.15,11.93,2.46
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,11,24.64,9.54,12.06,2.47
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,12,25.96,8.96,11.95,2.47
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,13,25.88,8.62,11.84,2.47
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,14,23.61,10.33,11.94,2.45
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,15,21.7,10.43,11.96,2.45
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,16,25.23,9.11,12.0,2.47
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,17,21.94,10.65,11.88,2.47
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,18,26.23,8.75,11.91,2.47
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,19,25.6,8.96,11.99,2.46
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,20,26.01,9.23,11.99,2.47
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,21,26.06,9.24,12.0,2.45
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,22,25.86,8.78,12.04,2.46
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,23,25.43,9.25,12.02,2.46
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,24,25.96,8.75,11.98,2.46
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,25,26.31,9.01,12.28,2.47
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,26,24.39,9.69,11.96,2.46
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,27,22.89,11.15,13.15,2.46
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,28,23.82,10.19,12.26,2.46
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,29,21.99,10.62,11.95,2.42
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=64,30,25.41,9.44,11.95,2.47
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,1,52.36,9.33,12.11,5.26
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,2,55.44,10.52,12.54,4.88
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,3,53.56,11.12,12.38,4.87
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,4,55.47,10.97,12.45,4.86
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,5,53.32,11.05,12.36,4.87
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,6,53.64,11.09,12.5,4.89
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,7,54.12,10.97,12.39,4.87
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,8,51.25,11.42,12.47,4.87
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,9,53.83,11.17,12.48,4.85
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,10,53.08,11.52,12.56,4.83
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,11,55.76,10.97,12.76,4.85
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,12,53.39,11.29,12.53,4.86
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,13,55.46,11.05,12.49,4.87
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,14,54.18,11.23,12.53,4.86
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,15,56.0,10.67,12.75,4.87
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,16,54.06,11.18,12.52,4.87
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,17,54.36,11.25,12.53,4.87
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,18,53.28,11.56,12.49,4.87
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,19,53.87,11.27,12.52,4.88
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,20,54.03,11.14,12.64,4.88
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,21,54.35,11.26,12.59,4.86
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,22,20.76,9.79,12.43,2.11
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,23,54.0,11.43,12.6,4.87
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,24,56.8,10.55,12.77,4.88
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,25,55.25,11.03,12.55,4.88
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,26,55.57,11.02,13.06,4.86
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,27,54.63,11.3,12.67,4.87
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,28,54.04,11.33,12.6,4.85
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,29,57.19,10.75,12.72,4.87
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=128,30,51.7,11.73,12.7,4.87
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,1,127.69,11.03,13.56,11.62
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,2,134.54,2.97,12.99,45.69
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,3,141.17,2.26,11.26,63.4
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,4,141.08,1.87,12.57,77.48
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,5,140.12,1.8,12.87,78.6
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,6,136.73,1.74,10.59,79.36
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,7,139.38,1.68,9.4,82.48
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,8,135.4,1.74,9.63,77.36
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,9,142.64,1.77,13.66,80.17
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,10,134.63,1.34,10.07,100.41
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,11,133.84,1.66,11.53,81.05
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,12,132.81,1.51,11.27,88.58
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,13,129.99,1.63,12.3,79.41
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,14,135.32,1.56,11.81,87.76
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,15,1.29,2.02,2.32,0.62
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,16,126.96,1.63,8.94,79.18
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,17,123.33,1.54,9.91,80.97
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,18,128.84,1.58,9.2,81.93
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,19,134.01,1.65,10.2,81.4
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,20,125.14,1.5,10.82,82.97
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,21,131.8,1.73,13.85,76.89
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,22,132.16,1.45,12.04,91.97
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,23,114.98,1.44,9.87,80.56
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,24,116.0,1.71,10.15,69.49
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,25,123.31,2.32,11.11,53.05
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,26,140.66,2.22,11.24,64.85
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,27,140.11,1.84,11.24,77.23
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,28,129.24,2.35,9.35,54.2
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,29,124.57,2.32,12.07,53.23
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=256,30,126.78,2.39,13.98,52.57
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,1,0,0,0,0.19
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,2,285.16,3.88,13.72,72.98
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,3,279.33,7.55,15.14,36.99
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,4,296.8,14.35,15.91,20.44
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,5,299.98,14.42,16.01,20.43
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,6,302.05,14.63,18.71,20.32
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,7,292.21,14.15,15.47,20.23
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,8,287.87,14.32,15.32,20.22
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,9,291.04,14.27,15.38,20.22
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,10,293.67,14.38,15.6,20.19
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,11,292.51,14.52,15.54,20.23
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,12,291.84,14.69,15.58,20.21
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,13,297.33,14.38,15.71,20.21
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,14,300.36,14.37,15.73,20.23
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,15,300.39,14.54,15.9,20.24
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,16,302.46,14.53,15.87,20.25
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,17,302.2,14.69,16.0,20.27
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,18,304.27,14.9,16.31,20.29
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,19,304.47,14.84,16.2,20.29
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,20,307.58,14.78,16.17,20.31
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,21,306.41,14.88,16.21,20.29
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,22,306.79,14.95,16.13,20.3
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,23,306.44,15.23,16.64,20.29
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,24,306.3,15.2,16.2,20.27
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,25,305.76,15.1,16.32,20.29
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,26,301.42,14.52,16.38,20.23
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,27,294.18,14.55,15.58,20.23
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,28,294.22,14.44,15.53,20.22
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,29,298.71,14.3,15.86,20.22
Mac M2 Ultra,text,Phi-3-mini-4k,max_tokens=512,30,295.14,14.87,15.88,20.22
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,1,41.85,15.36,19.45,2.73
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,2,40.2,15.38,19.3,2.72
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,3,42.19,14.88,19.41,2.72
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,4,40.76,14.14,18.32,2.7
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,5,41.25,14.29,17.97,2.72
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,6,41.69,15.7,19.31,2.73
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,7,40.95,15.11,19.07,2.74
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,8,38.9,14.95,17.78,2.71
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,9,40.45,15.08,19.64,2.7
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,10,43.93,14.94,20.16,2.7
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,11,43.29,14.59,19.35,2.7
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,12,40.3,15.09,19.3,2.72
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,13,40.54,13.75,18.39,2.72
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,14,42.14,15.1,19.17,2.73
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,15,40.84,13.93,18.22,2.69
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,16,40.0,14.52,18.13,2.71
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,17,39.22,14.87,17.78,2.72
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,18,40.94,14.0,18.09,2.72
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,19,40.54,14.31,17.77,2.74
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,20,44.59,15.61,19.73,2.71
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,21,41.84,15.17,19.61,2.7
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,22,42.12,14.34,18.62,2.7
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,23,40.88,13.95,18.08,2.69
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,24,43.38,14.93,19.92,2.72
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,25,39.94,14.42,18.42,2.72
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,26,42.01,14.35,18.53,2.7
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,27,41.26,15.29,19.14,2.7
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,28,40.3,13.93,18.03,2.71
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,29,40.04,14.93,18.13,2.71
Mac M2 Ultra,image,SD-v1-5,256x256_steps=20,30,40.66,14.47,18.07,2.7
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,1,63.03,16.27,19.05,3.9
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,2,62.55,16.23,18.93,3.88
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,3,61.23,16.17,18.64,3.9
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,4,65.13,14.37,18.32,3.87
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,5,60.68,15.6,18.11,3.91
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,6,55.93,16.97,19.1,3.85
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,7,61.19,15.68,18.11,3.88
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,8,61.75,15.55,18.28,3.87
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,9,61.18,15.67,18.81,3.91
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,10,66.1,16.47,20.22,3.87
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,11,58.66,17.18,18.91,3.86
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,12,62.49,14.98,18.51,3.88
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,13,61.96,14.91,18.28,3.88
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,14,61.22,15.16,18.41,3.88
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,15,61.85,14.83,18.3,3.88
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,16,66.39,15.13,20.26,3.88
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,17,62.57,15.09,18.12,3.87
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,18,62.78,14.81,18.05,3.87
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,19,62.56,16.46,19.05,3.87
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,20,62.63,15.27,18.61,3.9
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,21,59.8,15.99,18.23,3.88
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,22,62.96,15.56,18.89,3.88
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,23,67.28,15.46,20.21,3.87
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,24,63.43,15.56,18.95,3.89
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,25,61.43,16.1,18.83,3.87
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,26,61.89,15.39,18.19,3.87
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,27,63.26,15.6,19.4,3.87
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,28,62.97,14.77,18.69,3.86
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,29,63.81,14.64,18.31,3.87
Mac M2 Ultra,image,SD-v1-5,256x256_steps=30,30,65.41,14.99,18.7,3.87
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,1,137.23,15.49,21.56,8.81
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,2,123.76,20.39,21.79,6.4
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,3,113.05,17.67,20.08,6.78
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,4,122.35,16.87,19.51,6.79
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,5,124.3,16.78,20.18,6.77
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,6,120.69,16.9,19.83,6.77
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,7,119.01,16.99,19.49,6.77
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,8,119.34,16.63,19.68,6.76
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,9,115.42,17.46,20.88,6.79
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,10,123.05,16.56,20.14,6.79
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,11,120.68,17.64,20.19,6.79
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,12,115.4,17.37,19.65,6.79
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,13,122.22,17.08,20.3,6.8
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,14,120.68,17.43,19.67,6.82
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,15,124.94,16.53,21.32,6.78
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,16,118.48,17.86,19.91,6.78
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,17,119.12,17.62,19.63,6.79
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,18,117.98,17.6,19.83,6.78
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,19,122.78,16.87,20.54,6.79
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,20,118.82,17.15,19.68,6.8
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,21,118.4,17.46,20.15,6.8
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,22,123.71,16.83,21.03,6.8
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,23,119.55,17.36,19.79,6.8
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,24,121.69,16.66,21.04,6.76
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,25,119.41,16.85,20.24,6.93
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,26,117.18,17.69,19.83,6.81
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,27,118.45,16.86,19.73,6.82
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,28,115.17,17.59,19.61,6.76
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,29,115.47,18.11,21.46,6.74
Mac M2 Ultra,image,SD-v1-5,384x384_steps=20,30,119.03,17.85,20.15,6.79
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,1,175.52,18.03,20.23,9.83
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,2,194.85,20.65,22.55,9.29
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,3,176.98,17.57,19.68,9.86
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,4,174.39,18.0,19.55,9.83
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,5,181.99,17.52,20.57,9.83
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,6,180.03,17.68,20.16,9.82
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,7,176.62,17.59,19.81,9.82
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,8,179.07,17.75,19.54,9.87
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,9,178.18,18.35,20.25,9.82
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,10,177.16,17.9,20.55,9.82
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,11,177.79,18.52,20.24,9.81
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,12,181.7,17.25,20.89,9.82
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,13,177.65,17.77,19.51,9.82
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,14,178.76,17.51,20.28,9.79
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,15,173.89,18.32,21.1,9.81
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,16,178.2,17.36,20.09,9.85
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,17,179.78,17.49,20.68,9.79
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,18,179.53,17.45,20.64,9.83
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,19,174.01,17.89,20.3,9.79
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,20,178.81,16.86,21.4,9.84
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,21,180.03,17.49,20.03,9.91
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,22,175.88,18.41,19.95,9.83
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,23,176.51,17.76,20.15,9.8
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,24,174.41,18.25,22.52,9.83
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,25,174.92,18.48,19.83,9.79
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,26,194.54,21.13,23.6,9.3
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,27,181.8,17.37,20.48,9.9
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,28,174.61,18.12,20.36,9.82
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,29,175.82,18.39,21.64,9.83
Mac M2 Ultra,image,SD-v1-5,384x384_steps=30,30,175.62,18.46,20.2,9.78
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,1,274.2,20.11,25.26,13.12
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,2,266.5,20.98,22.88,13.04
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,3,271.33,20.46,25.04,13.05
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,4,272.31,20.65,23.29,13.05
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,5,273.39,20.58,23.65,13.07
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,6,273.14,20.62,22.71,13.07
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,7,269.46,21.03,22.35,13.07
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,8,270.57,21.13,26.37,13.06
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,9,274.94,20.38,23.91,13.07
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,10,275.1,20.34,24.96,13.07
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,11,270.73,20.82,22.13,13.07
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,12,267.37,20.86,23.32,13.05
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,13,271.53,20.79,22.12,13.06
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,14,273.12,20.17,25.28,13.07
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,15,275.18,20.4,24.42,13.05
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,16,271.67,20.79,22.72,13.06
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,17,270.19,20.81,24.38,13.05
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,18,271.51,20.57,24.46,13.04
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,19,270.78,20.75,22.2,13.06
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,20,265.09,20.96,24.21,13.08
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,21,274.45,20.95,22.78,13.08
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,22,274.76,20.26,23.92,13.06
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,23,265.62,21.2,23.55,13.05
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,24,268.93,20.88,23.56,13.06
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,25,268.52,20.89,22.47,13.07
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,26,277.81,20.29,26.62,13.05
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,27,275.17,20.21,25.67,13.08
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,28,272.16,20.65,23.03,13.05
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,29,276.08,20.32,24.67,13.05
Mac M2 Ultra,image,SD-v1-5,512x512_steps=20,30,278.9,20.04,24.9,13.07
Mac M2 Ultra,image,SD-v1-5,512x512_steps=30,1,398.87,20.93,22.22,18.97
Mac M2 Ultra,image,SD-v1-5,512x512_steps=30,2,403.38,20.83,24.16,18.99
Mac M2 Ultra,image,SD-v1-5,512x512_steps=30,3,396.84,21.16,23.29,18.97
Mac M2 Ultra,image,SD-v1-5,512x512_steps=30,4,406.61,20.6,25.48,19.01
Mac M2 Ultra,image,SD-v1-5,512x512_steps=30,5,397.59,21.31,25.38,19.0
Mac M2 Ultra,image,SD-v1-5,512x512_steps=30,6,405.54,20.92,23.47,19.01
Mac M2 Ultra,image,SD-v1-5,512x512_steps=30,7,402.26,21.01,22.54,19.0
Mac M2 Ultra,image,SD-v1-5,512x512_steps=30,8,397.52,21.19,26.21,19.03
Mac M2 Ultra,image,SD-v1-5,512x512_steps=30,9,395.1,20.95,23.53,19.0
Mac M2 Ultra,image,SD-v1-5,512x512_steps=30,10,394.38,21.22,25.48,18.98
Mac M2 Ultra,image,SD-v1-5,512x512_steps=30,11,403.53,20.84,24.58,18.96
Mac M2 Ultra,image,SD-v1-5,512x512_steps=30,12,399.76,20.96,22.21,18.98
Mac M2 Ultra,image,SD-v1-5,512x512_steps=30,13,401.05,20.98,23.2,18.99
